rundate,last_period,reporting_airport_group_name,reporting_airport_name,total_pax_this_period,total_pax_last_period,total_pax_percent,terminal_pax_this_period,terminal_pax_last_period,terminal_pax_percent,transit_pax_this_period,transit_pax_last_period,transit_pax_percent,date
13-Mar-2015 14:19,201401,Other UK Airports             ,ABERDEEN                      ,249165,247286, 0.7598489 ,249165,247255, 0.7724819 ,0,31,Null,2015-01-01
13-Mar-2015 14:19,201401,Non UK Reporting Airports     ,ALDERNEY                      ,2906,3358,-13.46039 ,2906,3358,-13.46039 ,0,0,Null,2015-01-01
13-Mar-2015 14:19,201401,Other UK Airports             ,BARRA                         ,437,520,-15.96154 ,437,520,-15.96154 ,0,0,Null,2015-01-01
13-Mar-2015 14:19,201401,Other UK Airports             ,BELFAST CITY (GEORGE BEST)    ,167662,162358, 3.266855 ,167662,162358, 3.266855 ,0,0,Null,2015-01-01
13-Mar-2015 14:19,201401,Other UK Airports             ,BELFAST INTERNATIONAL         ,237948,251009,-5.203399 ,237819,251008,-5.254414 ,129,1, 12800 ,2015-01-01
13-Mar-2015 14:19,201401,Other UK Airports             ,BENBECULA                     ,2082,2120,-1.792453 ,2082,2120,-1.792453 ,0,0,Null,2015-01-01
13-Mar-2015 14:19,201401,Other UK Airports             ,BIGGIN HILL                   ,138,0,Null,138,0,Null,0,0,Null,2015-01-01
13-Mar-2015 14:19,201401,Other UK Airports             ,BIRMINGHAM                    ,611467,549246, 11.32844 ,611171,548823, 11.36031 ,296,423,-30.02364 ,2015-01-01
13-Mar-2015 14:19,201401,Other UK Airports             ,BLACKPOOL                     ,1787,7799,-77.08681 ,1787,7799,-77.08681 ,0,0,Null,2015-01-01
13-Mar-2015 14:19,201401,Other UK Airports             ,BOURNEMOUTH                   ,21419,21260, 0.7478833 ,20789,21260,-2.215428 ,630,0,Null,2015-01-01
13-Mar-2015 14:19,201401,Other UK Airports             ,BRISTOL                       ,360924,342989, 5.229031 ,360538,342489, 5.26995 ,386,500,-22.8 ,2015-01-01
13-Mar-2015 14:19,201401,Other UK Airports             ,CAMBRIDGE                     ,350,1758,-80.09101 ,350,1758,-80.09101 ,0,0,Null,2015-01-01
13-Mar-2015 14:19,201401,Other UK Airports             ,CAMPBELTOWN                   ,429,579,-25.90674 ,419,578,-27.50865 ,10,1, 900 ,2015-01-01
13-Mar-2015 14:19,201401,Other UK Airports             ,CARDIFF WALES                 ,42316,46336,-8.675759 ,42023,45203,-7.034931 ,293,1133,-74.13945 ,2015-01-01
13-Mar-2015 14:19,201401,Other UK Airports             ,CITY OF DERRY (EGLINTON)      ,20381,22336,-8.752687 ,20378,22336,-8.766117 ,3,0,Null,2015-01-01
13-Mar-2015 14:19,201401,Other UK Airports             ,COVENTRY                      ,0,0,Null,0,0,Null,0,0,Null,2015-01-01
13-Mar-2015 14:19,201401,Other UK Airports             ,DONCASTER SHEFFIELD           ,45034,34554, 30.32934 ,45034,34544, 30.36707 ,0,10,Null,2015-01-01
13-Mar-2015 14:19,201401,Other UK Airports             ,DUNDEE                        ,1240,1531,-19.00718 ,1240,1531,-19.00718 ,0,0,Null,2015-01-01
13-Mar-2015 14:19,201401,Other UK Airports             ,DURHAM TEES VALLEY            ,9894,10620,-6.836158 ,9878,10580,-6.63516 ,16,40,-60 ,2015-01-01
13-Mar-2015 14:19,201401,Other UK Airports             ,EAST MIDLANDS INTERNATIONAL   ,183335,162188, 13.03857 ,183043,162129, 12.8996 ,292,59, 394.9153 ,2015-01-01
13-Mar-2015 14:19,201401,Other UK Airports             ,EDINBURGH                     ,625306,586723, 6.576016 ,624836,586723, 6.49591 ,470,0,Null,2015-01-01
13-Mar-2015 14:19,201401,Other UK Airports             ,EXETER                        ,44294,33612, 31.78032 ,44178,33401, 32.2655 ,116,211,-45.0237 ,2015-01-01
13-Mar-2015 14:19,201401,London Area Airports          ,GATWICK                       ,2359570,2236661, 5.4952 ,2358459,2234922, 5.527575 ,1111,1739,-36.11271 ,2015-01-01
13-Mar-2015 14:19,201401,Other UK Airports             ,GLASGOW                       ,485824,435980, 11.43263 ,485546,435807, 11.41308 ,278,173, 60.69364 ,2015-01-01
13-Mar-2015 14:19,201401,Other UK Airports             ,GLOUCESTERSHIRE               ,733,829,-11.58022 ,733,829,-11.58022 ,0,0,Null,2015-01-01
13-Mar-2015 14:19,201401,Non UK Reporting Airports     ,GUERNSEY                      ,53392,53624,-0.4326421 ,51115,51571,-0.8842179 ,2277,2053, 10.91086 ,2015-01-01
13-Mar-2015 14:19,201401,London Area Airports          ,HEATHROW                      ,5456668,5387171, 1.290046 ,5454900,5383975, 1.317335 ,1768,3196,-44.68085 ,2015-01-01
13-Mar-2015 14:19,201401,Other UK Airports             ,HUMBERSIDE                    ,15770,16844,-6.376158 ,15767,16775,-6.008942 ,3,69,-95.65218 ,2015-01-01
13-Mar-2015 14:19,201401,Other UK Airports             ,INVERNESS                     ,43447,33954, 27.95841 ,43349,33853, 28.05069 ,98,101,-2.970297 ,2015-01-01
13-Mar-2015 14:19,201401,Other UK Airports             ,ISLAY                         ,1659,1518, 9.288538 ,1629,1502, 8.455393 ,30,16, 87.5 ,2015-01-01
13-Mar-2015 14:19,201401,Non UK Reporting Airports     ,ISLE OF MAN                   ,47013,49032,-4.117719 ,47013,48987,-4.029641 ,0,45,Null,2015-01-01
13-Mar-2015 14:19,201401,Other UK Airports             ,ISLES OF SCILLY (ST.MARYS)    ,2855,2811, 1.565279 ,2855,2811, 1.565279 ,0,0,Null,2015-01-01
13-Mar-2015 14:19,201401,Non UK Reporting Airports     ,JERSEY                        ,82321,79399, 3.680147 ,80930,78139, 3.57184 ,1391,1260, 10.39683 ,2015-01-01
13-Mar-2015 14:19,201401,Other UK Airports             ,KIRKWALL                      ,10236,10644,-3.833145 ,9564,10134,-5.62463 ,672,510, 31.76471 ,2015-01-01
13-Mar-2015 14:19,201401,Other UK Airports             ,LANDS END (ST JUST)           ,2229,0,Null,2187,0,Null,42,0,Null,2015-01-01
13-Mar-2015 14:19,201401,Other UK Airports             ,LEEDS BRADFORD                ,145040,131664, 10.15919 ,142891,131369, 8.770715 ,2149,295, 628.4745 ,2015-01-01
13-Mar-2015 14:19,201401,Other UK Airports             ,LERWICK (TINGWALL)            ,141,150,-6 ,141,150,-6 ,0,0,Null,2015-01-01
13-Mar-2015 14:19,201401,Other UK Airports             ,LIVERPOOL (JOHN LENNON)       ,250595,252241,-0.6525505 ,249764,252241,-0.9819974 ,831,0,Null,2015-01-01
13-Mar-2015 14:19,201401,London Area Airports          ,LONDON CITY                   ,297929,240500, 23.879 ,297929,240500, 23.879 ,0,0,Null,2015-01-01
13-Mar-2015 14:19,201401,London Area Airports          ,LUTON                         ,656324,589397, 11.35516 ,656256,589167, 11.38709 ,68,230,-70.43478 ,2015-01-01
13-Mar-2015 14:19,201401,Other UK Airports             ,LYDD                          ,9,2, 350 ,9,2, 350 ,0,0,Null,2015-01-01
13-Mar-2015 14:19,201401,Other UK Airports             ,MANCHESTER                    ,1318080,1227261, 7.400137 ,1312800,1223993, 7.255516 ,5280,3268, 61.56671 ,2015-01-01
13-Mar-2015 14:19,201401,Other UK Airports             ,MANSTON (KENT INT)            ,0,3136,Null,0,3136,Null,0,0,Null,2015-01-01
13-Mar-2015 14:19,201401,Other UK Airports             ,NEWCASTLE                     ,233423,229276, 1.808737 ,233047,228684, 1.907873 ,376,592,-36.48649 ,2015-01-01
13-Mar-2015 14:19,201401,Other UK Airports             ,NEWQUAY                       ,11587,7987, 45.07324 ,11587,7987, 45.07324 ,0,0,Null,2015-01-01
13-Mar-2015 14:19,201401,Other UK Airports             ,NORWICH                       ,26609,26317, 1.109549 ,26609,26317, 1.109549 ,0,0,Null,2015-01-01
13-Mar-2015 14:19,201401,Other UK Airports             ,PRESTWICK                     ,19773,46485,-57.4637 ,19773,46320,-57.31218 ,0,165,Null,2015-01-01
13-Mar-2015 14:19,201401,Other UK Airports             ,SCATSTA                       ,20684,15341, 34.82824 ,20684,15341, 34.82824 ,0,0,Null,2015-01-01
13-Mar-2015 14:19,201401,Other UK Airports             ,SHOREHAM                      ,68,29, 134.4828 ,68,29, 134.4828 ,0,0,Null,2015-01-01
13-Mar-2015 14:19,201401,Other UK Airports             ,SOUTHAMPTON                   ,110848,95793, 15.71618 ,110405,95793, 15.25372 ,443,0,Null,2015-01-01
13-Mar-2015 14:19,201401,London Area Airports          ,SOUTHEND                      ,55301,59904,-7.683961 ,55301,59904,-7.683961 ,0,0,Null,2015-01-01
13-Mar-2015 14:19,201401,London Area Airports          ,STANSTED                      ,1485962,1156468, 28.49141 ,1485451,1156366, 28.45855 ,511,102, 400.9804 ,2015-01-01
13-Mar-2015 14:19,201401,Other UK Airports             ,STORNOWAY                     ,8659,8758,-1.130395 ,8489,8583,-1.095188 ,170,175,-2.857143 ,2015-01-01
13-Mar-2015 14:19,201401,Other UK Airports             ,SUMBURGH                      ,15055,21494,-29.9572 ,14991,21494,-30.25496 ,64,0,Null,2015-01-01
13-Mar-2015 14:19,201401,Other UK Airports             ,TIREE                         ,495,552,-10.32609 ,484,523,-7.456979 ,11,29,-62.06897 ,2015-01-01
13-Mar-2015 14:19,201401,Other UK Airports             ,WICK JOHN O GROATS            ,2840,1866, 52.19721 ,2509,1866, 34.45874 ,331,0,Null,2015-01-01
23-Apr-2015 13:04,201402,Other UK Airports             ,ABERDEEN                      ,250294,251751,-0.5787464 ,250294,251680,-0.5506993 ,0,71,Null,2015-02-01
23-Apr-2015 13:04,201402,Non UK Reporting Airports     ,ALDERNEY                      ,3271,2953, 10.76871 ,3271,2953, 10.76871 ,0,0,Null,2015-02-01
23-Apr-2015 13:04,201402,Other UK Airports             ,BARRA                         ,530,530, 0 ,530,530, 0 ,0,0,Null,2015-02-01
23-Apr-2015 13:04,201402,Other UK Airports             ,BELFAST CITY (GEORGE BEST)    ,187658,171530, 9.402437 ,187658,171496, 9.424127 ,0,34,Null,2015-02-01
23-Apr-2015 13:04,201402,Other UK Airports             ,BELFAST INTERNATIONAL         ,273747,280023,-2.241245 ,273539,279863,-2.259677 ,208,160, 30 ,2015-02-01
23-Apr-2015 13:04,201402,Other UK Airports             ,BENBECULA                     ,2348,2218, 5.861136 ,2348,2218, 5.861136 ,0,0,Null,2015-02-01
23-Apr-2015 13:04,201402,Other UK Airports             ,BIGGIN HILL                   ,4,0,Null,4,0,Null,0,0,Null,2015-02-01
23-Apr-2015 13:04,201402,Other UK Airports             ,BIRMINGHAM                    ,629843,577306, 9.100373 ,629157,576444, 9.144513 ,686,862,-20.41763 ,2015-02-01
23-Apr-2015 13:04,201402,Other UK Airports             ,BLACKPOOL                     ,1949,8990,-78.32036 ,1949,8990,-78.32036 ,0,0,Null,2015-02-01
23-Apr-2015 13:04,201402,Other UK Airports             ,BOURNEMOUTH                   ,20748,23018,-9.861847 ,20522,23018,-10.84369 ,226,0,Null,2015-02-01
23-Apr-2015 13:04,201402,Other UK Airports             ,BRISTOL                       ,381531,368932, 3.414993 ,381071,368022, 3.545712 ,460,910,-49.45055 ,2015-02-01
23-Apr-2015 13:04,201402,Other UK Airports             ,CAMBRIDGE                     ,93,1769,-94.74279 ,93,1769,-94.74279 ,0,0,Null,2015-02-01
23-Apr-2015 13:04,201402,Other UK Airports             ,CAMPBELTOWN                   ,601,594, 1.178451 ,601,594, 1.178451 ,0,0,Null,2015-02-01
23-Apr-2015 13:04,201402,Other UK Airports             ,CARDIFF WALES                 ,44472,59629,-25.41884 ,44472,59557,-25.32868 ,0,72,Null,2015-02-01
23-Apr-2015 13:04,201402,Other UK Airports             ,CITY OF DERRY (EGLINTON)      ,22899,24283,-5.699461 ,22899,24283,-5.699461 ,0,0,Null,2015-02-01
23-Apr-2015 13:04,201402,Other UK Airports             ,COVENTRY                      ,0,0,Null,0,0,Null,0,0,Null,2015-02-01
23-Apr-2015 13:04,201402,Other UK Airports             ,DONCASTER SHEFFIELD           ,40675,31916, 27.44391 ,40675,31916, 27.44391 ,0,0,Null,2015-02-01
23-Apr-2015 13:04,201402,Other UK Airports             ,DUNDEE                        ,1448,1498,-3.337784 ,1448,1498,-3.337784 ,0,0,Null,2015-02-01
23-Apr-2015 13:04,201402,Other UK Airports             ,DURHAM TEES VALLEY            ,10108,10960,-7.773723 ,10108,10960,-7.773723 ,0,0,Null,2015-02-01
23-Apr-2015 13:04,201402,Other UK Airports             ,EAST MIDLANDS INTERNATIONAL   ,202460,179395, 12.8571 ,202149,179280, 12.75602 ,311,115, 170.4348 ,2015-02-01
23-Apr-2015 13:04,201402,Other UK Airports             ,EDINBURGH                     ,656799,607143, 8.178634 ,656731,607021, 8.189173 ,68,122,-44.26229 ,2015-02-01
23-Apr-2015 13:04,201402,Other UK Airports             ,EXETER                        ,46684,37872, 23.26785 ,46684,37657, 23.97164 ,0,215,Null,2015-02-01
23-Apr-2015 13:04,201402,London Area Airports          ,GATWICK                       ,2469609,2304446, 7.167146 ,2468890,2303288, 7.189809 ,719,1158,-37.91019 ,2015-02-01
